filename;ocr_text;confidence;global_box;source_map
img20250920_20532456_x0_y0_0.jpg;Стех;0.6996;[[np.int32(1867), np.int32(28)], [np.int32(2000), np.int32(94)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_1.jpg;Ягодино;0.9431;[[np.int32(242), np.int32(67)], [np.int32(488), np.int32(112)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_2.jpg;Размесово;0.7396;[[np.int32(730), np.int32(88)], [np.int32(1023), np.int32(129)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_3.jpg;Крюково;0.9437;[[np.int32(226), np.int32(123)], [np.int32(480), np.int32(176)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_4.jpg;32-3;0.997;[[np.int32(910), np.int32(127)], [np.int32(1024), np.int32(166)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_5.jpg;Усадище;0.9638;[[np.int32(779), np.int32(198)], [np.int32(1039), np.int32(245)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_6.jpg;Харитоново;0.9391;[[np.int32(1362), np.int32(206)], [np.int32(1694), np.int32(263)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_7.jpg;AI38;0.8155;[[np.int32(584), np.int32(212)], [np.int32(695), np.int32(263)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_8.jpg;Ферцовд;0.7063;[[np.int32(519), np.int32(258)], [np.int32(749), np.int32(300)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_9.jpg;(нежил.);0.989;[[np.int32(1426), np.int32(251)], [np.int32(1678), np.int32(311)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_10.jpg;Захнд60;0.6279;[[np.int32(238), np.int32(274)], [np.int32(458), np.int32(322)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_11.jpg;Свиномурфво;0.9141;[[np.int32(912), np.int32(264)], [np.int32(1289), np.int32(311)]];img20250920_20532456.tif
img20250920_20532456_x0_y0_12.jpg;Сарельниково;0.9104;[[np.int32(574), np.int32(333)], [np.int32(922), np.int32(370)]];img20250920_20532456.tif
